"State","Year","Month","Final_Case","Final_Death"
"alabama",2020,"Jan",0,0
"alabama",2020,"Feb",0,0
"alabama",2020,"Mar",1063,23
"alabama",2020,"Apr",6124,279
"alabama",2020,"May",11013,365
"alabama",2020,"Jun",20277,337
"alabama",2020,"Jul",49789,642
"alabama",2020,"Aug",38234,615
"alabama",2020,"Sep",28272,540
"alabama",2020,"Oct",38841,448
"alabama",2020,"Nov",55916,627
"alabama",2020,"Dec",111746,1266
"alabama",2021,"Jan",98444,2889
"alabama",2021,"Feb",33885,2266
"alabama",2021,"Mar",22413,646
"alabama",2021,"Apr",13022,377
"alabama",2021,"May",15589,261
"alabama",2021,"Jun",7687,222
"alabama",2021,"Jul",34632,189
"alabama",2021,"Aug",114122,750
"alabama",2021,"Sep",96749,2020
"alabama",2021,"Oct",35664,1278
"alabama",2021,"Nov",14517,591
"alabama",2021,"Dec",50963,343
"alabama",2022,"Jan",330425,720
"alabama",2022,"Feb",61323,1140
"alabama",2022,"Mar",15854,1074
"alabama",2022,"Apr",5831,277
"alaska",2020,"Jan",0,0
"alaska",2020,"Feb",0,0
"alaska",2020,"Mar",129,3
"alaska",2020,"Apr",231,10
"alaska",2020,"May",124,5
"alaska",2020,"Jun",658,4
"alaska",2020,"Jul",2574,12
"alaska",2020,"Aug",2456,14
"alaska",2020,"Sep",2674,19
"alaska",2020,"Oct",7526,30
"alaska",2020,"Nov",16246,41
"alaska",2020,"Dec",14468,86
"alaska",2021,"Jan",7434,56
"alaska",2021,"Feb",3965,28
"alaska",2021,"Mar",4629,23
"alaska",2021,"Apr",5280,34
"alaska",2021,"May",2072,22
"alaska",2021,"Jun",1095,8
"alaska",2021,"Jul",4217,12
"alaska",2021,"Aug",13096,55
"alaska",2021,"Sep",26127,133
"alaska",2021,"Oct",23235,148
"alaska",2021,"Nov",13116,155
"alaska",2021,"Dec",6176,98
"alaska",2022,"Jan",59771,107
"alaska",2022,"Feb",22565,78
"alaska",2022,"Mar",7727,65
"alaska",2022,"Apr",5801,24
"american samoa",2020,"Jan",0,0
"american samoa",2020,"Feb",0,0
"american samoa",2020,"Mar",0,0
